log_text,location,category,severity,action_taken,date,"log_text,location,category,severity,action_taken,date"
Network issue at Sports Hall Court 1: WiFi outage reported.,Sports Hall Court 1,Network,High,Restarted access point,2024-04-12,
Mechanical issue at Main Library: unusual vibration.,Main Library,Mechanical,Medium,Reset control system,2024-04-09,
Electrical issue at Lecture Hall A: circuit breaker tripped.,Lecture Hall A,Electrical,Medium,Replaced fuse,2024-06-06,
Plumbing issue at Main Library: slow drainage.,Main Library,Plumbing,High,Sealed leaking joint,2024-03-12,
Mechanical issue at Lecture Hall A: unusual vibration.,Lecture Hall A,Mechanical,High,Replaced worn relay,2024-04-18,
Electrical issue at Admin Block: voltage instability.,Admin Block,Electrical,Low,Rewired loose connection,2024-04-27,
Electrical issue at Sports Hall Court 1: circuit breaker tripped.,Sports Hall Court 1,Electrical,Medium,Inspected voltage supply,2024-04-25,
Plumbing issue at Sports Hall Court 1: sink clogged.,Sports Hall Court 1,Plumbing,High,Sealed leaking joint,2024-03-10,
Electrical issue at Cafeteria: power outage.,Cafeteria,Electrical,Medium,Rewired loose connection,2024-05-16,
HVAC issue at Lecture Hall A: weak airflow.,Lecture Hall A,HVAC,Medium,Calibrated thermostat,2024-06-25,
Network issue at Cafeteria: network latency high.,Cafeteria,Network,Medium,Replaced faulty switch,2024-06-26,
Network issue at Main Library: WiFi intermittent drop.,Main Library,Network,Medium,Reconfigured router,2024-04-01,
HVAC issue at Lecture Hall A: not cooling properly.,Lecture Hall A,HVAC,High,Cleaned air filters,2024-05-27,
Network issue at Lecture Hall A: WiFi intermittent drop.,Lecture Hall A,Network,Medium,Reconfigured router,2024-05-04,
Electrical issue at Sports Hall Court 2: circuit breaker tripped.,Sports Hall Court 2,Electrical,Low,Inspected voltage supply,2024-03-10,
HVAC issue at Sports Hall Court 1: weak airflow.,Sports Hall Court 1,HVAC,High,Recharged refrigerant,2024-04-16,
Network issue at Admin Block: WiFi outage reported.,Admin Block,Network,High,Replaced faulty switch,2024-05-04,
Plumbing issue at Block B Stairwell: slow drainage.,Block B Stairwell,Plumbing,High,Cleaned drainage trap,2024-05-07,
Electrical issue at Engineering Block: lights not turning on.,Engineering Block,Electrical,Medium,Replaced fuse,2024-04-19,
HVAC issue at Lecture Hall A: emitting warm air.,Lecture Hall A,HVAC,Low,Recharged refrigerant,2024-04-27,
Mechanical issue at Block C Restroom: door not closing properly.,Block C Restroom,Mechanical,High,Reset control system,2024-03-09,
Plumbing issue at Block B Stairwell: sink clogged.,Block B Stairwell,Plumbing,Low,Cleared blockage,2024-05-13,
Mechanical issue at Block C Restroom: elevator stuck.,Block C Restroom,Mechanical,Low,Reset control system,2024-03-21,
Network issue at Main Library: network latency high.,Main Library,Network,Low,Reconfigured router,2024-05-13,
Plumbing issue at Admin Block: toilet overflow.,Admin Block,Plumbing,High,Cleared blockage,2024-04-30,
Mechanical issue at Block C Restroom: elevator stuck.,Block C Restroom,Mechanical,High,Recalibrated motor,2024-04-15,
